country,countrycode,year
Barbados,BRB,1963
Barbados,BRB,1962
Barbados,BRB,1961
Barbados,BRB,1960
Burkina Faso,BFA,1962
Burkina Faso,BFA,1961
Burkina Faso,BFA,1960
Cameroon,CMR,1963
Cameroon,CMR,1962
Cameroon,CMR,1961
Cameroon,CMR,1960
"China, Hong Kong SAR",HKG,1963
"China, Hong Kong SAR",HKG,1962
"China, Hong Kong SAR",HKG,1961
"China, Hong Kong SAR",HKG,1960
C么te d'Ivoire,CIV,1963
C么te d'Ivoire,CIV,1962
C么te d'Ivoire,CIV,1961
C么te d'Ivoire,CIV,1960
Indonesia,IDN,1963
Indonesia,IDN,1962
Indonesia,IDN,1961
Indonesia,IDN,1960
Mozambique,MOZ,1963
Mozambique,MOZ,1962
Mozambique,MOZ,1961
Mozambique,MOZ,1960
Niger,NER,1963
Niger,NER,1962
Niger,NER,1961
Niger,NER,1960
Romania,ROU,1963
Romania,ROU,1962
Romania,ROU,1961
Romania,ROU,1960
Senegal,SEN,1963
Senegal,SEN,1962
Senegal,SEN,1961
Senegal,SEN,1960
Singapore,SGP,1963
Singapore,SGP,1962
Singapore,SGP,1961
Singapore,SGP,1960
Tunisia,TUN,1963
Tunisia,TUN,1962
Tunisia,TUN,1961
Tunisia,TUN,1960
U.R. of Tanzania: Mainland,TZA,1963
U.R. of Tanzania: Mainland,TZA,1962
U.R. of Tanzania: Mainland,TZA,1961
U.R. of Tanzania: Mainland,TZA,1960
